time,signal
7.356,1951
7.36,1952
7.364,1952
7.368,1955
7.372,1962
7.376,1969
7.38,1975
7.384,1987
7.388,2001
7.392,2011
7.396,2014
7.4,2028
7.404,2036
7.408,2043
7.412,2045
7.416,2052
7.42,2053
7.424,2056
7.428,2052
7.432,2051
7.436,2050
7.44,2053
7.444,2059
7.448,2068
7.452,2068
7.456,2065
7.46,2066
7.464,2065
7.468,2063
7.472,2061
7.476,2055
7.48,2056
7.484,2058
7.488,2057
7.492,2058
7.496,2057
7.5,2056
7.504,2056
7.508,2055
7.512,2051
7.516,2049
7.52,2052
7.524,2049
7.528,2046
7.532,2045
7.536,2045
7.54,2041
7.544,2043
7.548,2039
7.552,2038
7.556,2039
7.56,2040
7.564,2037
7.568,2035
7.572,2038
7.576,2043
7.58,2050
7.584,2048
7.588,2050
7.592,2051
7.596,2050
7.6,2051
7.604,2050
7.608,2049
7.612,2050
7.616,2052
7.62,2050
7.624,2053
7.628,2056
7.632,2054
7.636,2056
7.64,2052
7.644,2051
7.648,2050
7.652,2051
7.656,2050
7.66,2046
7.664,2048
7.668,2044
7.672,2043
7.676,2042
7.68,2035
7.684,2031
7.688,2034
7.692,2036
7.696,2049
7.7,2051
7.704,2052
7.708,2050
7.712,2050
7.716,2056
7.72,2054
7.724,2056
7.728,2053
7.732,2051
7.736,2053
7.74,2054
7.744,2051
7.748,2048
7.752,2049
7.756,2051
7.76,2049
7.764,2051
7.768,2050
7.772,2053
7.776,2053
7.78,2052
7.784,2051
7.788,2051
7.792,2050
7.796,2049
7.8,2047
7.804,2044
7.808,2044
7.812,2033
7.816,2031
7.82,2039
7.824,2047
7.828,2051
7.832,2049
7.836,2051
7.84,2049
7.844,2047
7.848,2048
7.852,2048
7.856,2057
7.86,2034
7.864,1998
7.868,2002
7.872,2103
7.876,2256
7.88,2434
7.884,2722
7.888,2945
7.892,2868
7.896,2829
7.9,2800
7.904,2677
7.908,2501
7.912,2371
7.916,2281
7.92,2184
7.924,2101
7.928,2045
7.932,2020
7.936,2010
7.94,2005
7.944,1999
7.948,1994
7.952,1995
7.956,1994
7.96,1998
7.964,1990
7.968,1982
7.972,1987
7.976,1984
7.98,1978
7.984,1975
7.988,1975
